"_raw",index,host,source,sourcetype
"127.0.0.1 - admin [16/Jan/2017:19:37:38.238 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs?output_mode=json&id=rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22&count=1&_=1484610667189 HTTP/1.1"" 200 7454 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 8ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:38.253 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs/rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22/results_preview?output_mode=json_cols&show_metadata=true&show_empty_fields=True&offset=0&count=10000&_=1484610667190 HTTP/1.1"" 200 149 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 9ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:40.238 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs?output_mode=json&id=rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22&count=1&_=1484610667191 HTTP/1.1"" 200 7454 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 9ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:40.255 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs/rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22/results_preview?output_mode=json_cols&show_metadata=true&show_empty_fields=True&offset=0&count=10000&_=1484610667192 HTTP/1.1"" 200 149 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 9ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:42.238 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs?output_mode=json&id=rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22&count=1&_=1484610667193 HTTP/1.1"" 200 7454 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 9ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:44.239 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs?output_mode=json&id=rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22&count=1&_=1484610667194 HTTP/1.1"" 200 7454 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 12ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:44.261 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs/rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22/results_preview?output_mode=json_cols&show_metadata=true&show_empty_fields=True&offset=0&count=10000&_=1484610667195 HTTP/1.1"" 200 149 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 11ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:46.239 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs?output_mode=json&id=rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22&count=1&_=1484610667196 HTTP/1.1"" 200 7454 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 8ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:46.255 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs/rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22/results_preview?output_mode=json_cols&show_metadata=true&show_empty_fields=True&offset=0&count=10000&_=1484610667197 HTTP/1.1"" 200 149 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 9ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:48.239 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs?output_mode=json&id=rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22&count=1&_=1484610667198 HTTP/1.1"" 200 7454 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 8ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
